lbp58,hog435,hog556,hog111,hog25,hog369,hog16,hog210,hog363,hog138,hog394,hog120,hog361,hog151,hog421,hog387,hog95,hog225,hog309,hog237,hog547,hog117,hog336,hog374,hog243,hog235,hog565,hog278,hog34,hog430,hog43,hog129,hog61,hog520,hog94,hog90,hog329,lbp5,hog217,hog102,lbp3,hog17,hog221,hog509,hog379,hog84,hog209,hog160,hog367,hog7,Clase
0.3118774,0.2348606,0.2780239,0.2857135,0.1834284,0.100422,0.2162692,0.2708802,0.259764,0.2857135,0.259764,0.2857135,0.08672498,0.2178412,0.2691894,0.1564316,0.07170226,0.08910236,0.2371233,0.2500783,0.2780239,0.05314317,0.2566181,0.1379369,0.09063446,0.1053437,0.2780239,0.1519769,0.1767001,0.255035,0.2249411,0.2857135,0.1246463,0.2691996,0.1615485,0.06493012,0.08597887,0.008546086,0.1099717,0.2757562,0.009377841,0.2162692,0.1371018,0.08154365,0.09611009,0.2757562,0.1289132,0.1874465,0.1711419,0.2162692,Capacitor electrolitico
0.2957451,0.2428969,0.2599485,0.2698662,0.1947235,0.06450622,0.2399172,0.1058892,0.07443859,0.2484082,0.2669075,0.2698662,0.07894637,0.1599618,0.2523897,0.05402638,0.05999263,0.2502485,0.2609468,0.08551361,0.2599485,0.05824361,0.08583038,0.2669075,0.09232217,0.1475671,0.2599485,0.08835152,0.2399172,0.2523897,0.2480554,0.2698662,0.2480554,0.2582709,0.06109985,0.1061142,0.2693492,0.00532777,0.2502485,0.2685635,0.007877604,0.2399172,0.08570631,0.1704539,0.04692178,0.2685635,0.1155653,0.2389026,0.154848,0.1881098,Capacitor electrolitico
0.3353287,0.2367617,0.2502418,0.2363483,0.1560705,0.1068099,0.1570044,0.2176182,0.2430385,0.2363483,0.2430385,0.2363483,0.1027106,0.1977017,0.2315456,0.1275749,0.09159699,0.2053616,0.2165525,0.2549222,0.2502418,0.06979804,0.2032469,0.2222819,0.09305476,0.09901737,0.1912832,0.06353883,0.1960658,0.2125558,0.1498847,0.2363483,0.2035699,0.2597779,0.2022129,0.1007987,0.1232833,0.008503123,0.2549222,0.2584476,0.001769325,0.2182126,0.07127914,0.07026379,0.06752466,0.2432489,0.1984454,0.207112,0.1854941,0.1043202,Capacitor electrolitico
0.3112759,0.1084689,0.2648857,0.1504139,0.1347435,0.1216069,0.2159699,0.06660581,0.067584,0.2971663,0.2509971,0.1927413,0.07213097,0.118673,0.2816304,0.2167357,0.03739332,0.2525792,0.09766894,0.07672809,0.2350242,0.1685404,0.06808931,0.2509971,0.1837155,0.1237815,0.1658893,0.0718226,0.2476812,0.2816304,0.1657875,0.140385,0.1836802,0.2300569,0.07151428,0.2054328,0.07263012,0.002656681,0.2525792,0.1226145,0.01058223,0.2476812,0.05027925,0.04747177,0.1189871,0.1251289,0.09107818,0.2396947,0.1283396,0.1142191,Capacitor electrolitico
0.4314508,0.1697697,0.1310819,0.1047717,0.1052616,0.2296208,0.09214251,0.2186,0.2296208,0.08694513,0.1032752,0.08671495,0.2296208,0.07957797,0.126682,0.1586942,0.2553633,0.2128544,0.08555,0.1712011,0.1781621,0.1924667,0.2368751,0.2296208,0.2205407,0.2205407,0.1427021,0.2229618,0.1624877,0.07779267,0.07458647,0.1663764,0.1364822,0.1873633,0.2041768,0.1685755,0.2368751,0.006197212,0.199413,0.1312707,0.003228463,0.1239023,0.2205407,0.06430354,0.1445317,0.0760632,0.1899421,0.1273123,0.186214,0.09754552,Circuito integrado
0.4104673,0.1309309,0.07474993,0.1101603,0.1416041,0.1328375,0.174873,0.1912515,0.1874055,0.08274933,0.1043652,0.08371188,0.1798685,0.08182669,0.1183141,0.1499198,0.2319901,0.1803739,0.07213691,0.1841475,0.1403029,0.1473725,0.1895162,0.2408779,0.1259332,0.1668897,0.1576424,0.1257325,0.1424774,0.04299427,0.1752205,0.1334374,0.1378535,0.1413181,0.1785518,0.1110655,0.2430843,0.005573483,0.2280018,0.1163104,0.005059429,0.1050548,0.2280018,0.2239832,0.1770402,0.08905594,0.1408124,0.1113184,0.205906,0.1764331,Circuito integrado
0.4156274,0.1489032,0.1239848,0.1070231,0.1628353,0.2143282,0.06943984,0.2058591,0.2109879,0.1247167,0.1332192,0.08587726,0.2143282,0.1556372,0.2095631,0.2143282,0.1720988,0.2305833,0.1447652,0.2070075,0.2054432,0.2519484,0.2267233,0.1286678,0.2305833,0.2305833,0.1779748,0.2261656,0.1039192,0.1437408,0.05882691,0.1626518,0.1016963,0.1614426,0.1310341,0.2668406,0.1339183,0.003708757,0.2305833,0.127019,0.004371469,0.1248352,0.1520565,0.2250879,0.2143282,0.07062452,0.1721821,0.1026299,0.1911888,0.1043554,Circuito integrado
0.3675292,0.2082368,0.2112641,0.08030843,0.1770397,0.1729548,0.1760479,0.1800666,0.1699946,0.147347,0.124616,0.1088469,0.1835891,0.153785,0.1182733,0.2163262,0.2367277,0.1416193,0.2260438,0.1658779,0.114305,0.1143935,0.2015022,0.2163262,0.1542371,0.1685537,0.1020545,0.1246729,0.1330422,0.2188382,0.1328534,0.1203107,0.142299,0.1463624,0.2335779,0.1042208,0.2197143,0.002737026,0.1434889,0.121886,0.003602116,0.1082989,0.22764,0.1490377,0.2163262,0.0833671,0.1556935,0.1427469,0.1984002,0.1884699,Circuito integrado
0.4131897,0.1412434,0.166868,0.1815035,0.1612554,0.1845073,0.1546359,0.2322284,0.1949342,0.1111795,0.1395755,0.1863074,0.1779036,0.1612506,0.1503253,0.166841,0.2466107,0.1337976,0.1220759,0.2082233,0.1594978,0.1625266,0.2110717,0.2074018,0.1896354,0.1756507,0.1071834,0.1235085,0.09686918,0.1410819,0.1258307,0.1054519,0.09536188,0.1495941,0.1720593,0.1579272,0.2110717,0.006144145,0.1176416,0.08260921,0.006591224,0.1538469,0.2429105,0.2141909,0.1523674,0.1792203,0.1336755,0.1217109,0.1556125,0.2128262,Circuito integrado
0.4278573,0.1409631,0.1986134,0.08534978,0.158503,0.1591151,0.1550015,0.1318269,0.1719859,0.1217677,0.1658632,0.1473281,0.1701986,0.2246641,0.06115017,0.1581677,0.03855649,0.2128194,0.1792347,0.1202181,0.0572271,0.2846536,0.1578556,0.1778903,0.1177734,0.135733,0.08663993,0.04073614,0.05979965,0.2397639,0.1617263,0.05990916,0.0642501,0.0750337,0.03834596,0.3222051,0.2019011,0.001149888,0.2128194,0.05639042,0.001726881,0.2226748,0.139316,0.05948804,0.1366365,0.09134106,0.1488534,0.06616493,0.1587381,0.1765529,Circuito integrado
